mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.00834306,0.1491631,0,16.171875,0,11.484375,0.036581421,0.177401461,0.028238361,1
0.046288568,0.135574501,0,6.25,0,11.640625,0.061937497,0.15122343,0.015648929,2
0.05717457,0.049490366,0,0,5.9375,15.234375,0.073907561,0.066223356,0.01673299,3
0.058155786,0.056934392,0,0,6.171875,8.75,0.07340342,0.072182026,0.015247634,4
0.095010417,0.04820568,0,0,3.984375,4.375,0.116641031,0.069836294,0.021630614,5
0.125974268,0.092167697,0,0,4.53125,2.03125,0.1489332,0.115126629,0.022958932,6
0,0.088054604,0.016762242,15.859375,0,14.53125,0.023654548,0.111709152,0.04041679,1
0.035592946,0.115314315,0,4.6875,0,12.890625,0.051377154,0.131098522,0.015784208,2
0.039260325,0.035981216,0,0,9.53125,14.21875,0.054270909,0.050991801,0.015010585,3
0.050185443,0.046834649,0,0,5.78125,30.625,0.060490692,0.057139897,0.010305249,4
0.069289571,0.048948172,0,0,5,5.46875,0.088332673,0.067991274,0.019043102,5
0.040845183,0.046485113,0,0,7.8125,3.203125,0.052548839,0.05818877,0.011703657,6
0,0.121604557,0.020941793,5.9375,0,5.46875,0.029035888,0.150640444,0.049977681,1
0.040376845,0.11686402,0,1.953125,0,5.390625,0.05576956,0.132256736,0.015392715,2
0.023636828,0.032128038,0,0,3.28125,8.828125,0.032803482,0.041294693,0.009166654,3
0.049104608,0.049912655,0,0,9.296875,8.28125,0.061121961,0.061930008,0.012017353,4
0.021661114,0.022046139,0,0,3.203125,5.9375,0.027689273,0.028074298,0.006028159,5
0.049172867,0.046771935,0,0,6.953125,2.578125,0.060533572,0.058132641,0.011360705,6
0.004349609,0.111696787,0,2.1875,0,4.765625,0.038788909,0.146136086,0.0344393,1
0.035153296,0.116361971,0,6.796875,0,11.5625,0.051163659,0.132372335,0.016010363,2
0.036607666,0.047496006,0,0,3.203125,9.53125,0.056156063,0.067044403,0.019548396,3
0.047823809,0.045249447,0,0,9.609375,10.78125,0.06331503,0.060740669,0.015491222,4
0.076349399,0.037176802,0,0,3.4375,4.296875,0.094324252,0.055151654,0.017974853,5
0.079582895,0.06138376,0,0,8.125,2.578125,0.093377941,0.075178806,0.013795046,6
0,0.156350778,0.012712992,4.921875,0,3.28125,0.04106627,0.197417048,0.053779262,1
0.030321371,0.079254222,0,3.515625,0,8.4375,0.040648019,0.08958087,0.010326648,2
0.045379155,0.04440068,0,0,4.140625,12.5,0.053659121,0.052680646,0.008279966,3
0.05171288,0.054170088,0,0,7.421875,8.125,0.06622049,0.068677698,0.01450761,4
0.07181517,0.044510731,0,0,7.65625,6.484375,0.088940356,0.061635916,0.017125185,5
0.102364326,0.07456242,0,0,7.578125,2.5,0.118807689,0.091005783,0.016443362,6
0,0.152153783,0.001436949,2.8125,0,2.96875,0.043210174,0.195363957,0.044647122,1
0.035227274,0.118869779,0,4.140625,0,7.03125,0.049515183,0.133157688,0.014287909,2
0.04376754,0.052997848,0,7.109375,0,15.234375,0.063381896,0.072612204,0.019614356,3
0.081060424,0.073035663,0,0,36.71875,39.53125,0.10014349,0.092118729,0.019083066,4
0.120883582,0.06742012,0,0,5,4.21875,0.150523311,0.097059848,0.029639728,5
0.088277973,0.066549659,0,0,7.890625,3.359375,0.102886101,0.081157787,0.014608128,6
0,0.10955932,0.010987407,3.359375,0,2.109375,0.038798742,0.148358063,0.049786149,1
0.032194314,0.095806926,0,2.5,0,8.28125,0.044606413,0.108219026,0.0124121,2
0.063206613,0.057413539,0,12.65625,0,26.953125,0.083933766,0.078140692,0.020727153,3
0.094719973,0.083569301,0,0,25.703125,28.984375,0.11812363,0.106972958,0.023403657,4
0.053287101,0.039311358,0,0,3.828125,4.21875,0.065466699,0.051490956,0.012179598,5
0.140987818,0.091176726,0,0,4.21875,1.09375,0.160872429,0.111061336,0.019884611,6
0,0.158085126,0.011027174,3.671875,0,3.75,0.041340209,0.199425335,0.052367383,1
0.035026437,0.101121174,0,21.09375,0,4.140625,0.05117544,0.117270177,0.016149003,2
0.01556826,0.020559439,0,12.1875,0,110.859375,0.020486101,0.025477281,0.004917841,3
0.050744934,0.047756709,0,0,5.625,8.4375,0.063647639,0.060659415,0.012902706,4
0.096726241,0.048486663,0,0,3.90625,3.671875,0.121224054,0.072984476,0.024497813,5
0.143407231,0.089411334,0,0,7.34375,2.1875,0.164399337,0.11040344,0.020992106,6
0.007851832,0.095988206,0,28.59375,0,1.484375,0.025761982,0.113898357,0.01791015,1
0.015084303,0.05486026,0,3.28125,0,7.1875,0.023595607,0.063371564,0.008511304,2
0.042963842,0.058074157,0,0,0.15625,6.640625,0.060106924,0.075217239,0.017143081,3
0.052117672,0.051297608,0,0,5.46875,8.359375,0.06374664,0.062926576,0.011628968,4
0.087342248,0.050494605,0,0,4.921875,4.609375,0.108265229,0.071417586,0.020922981,5
0.120132798,0.076011976,0,0,5.703125,2.65625,0.137179459,0.093058637,0.017046661,6
0,0.188226193,0.00955948,21.484375,0,19.6875,0.046771715,0.234997908,0.056331195,1
0.04537371,0.150084448,0,4.453125,0,8.515625,0.066615751,0.171326489,0.021242041,2
0.039222713,0.040432361,0,0,3.59375,28.90625,0.055863986,0.057073634,0.016641273,3
0.063750088,0.057039792,0,0,16.25,18.4375,0.080189493,0.073479196,0.016439405,4
0.108439268,0.076382828,0,0,3.828125,3.59375,0.139032757,0.106976318,0.030593489,5
0.067768555,0.061204756,0,0,7.03125,2.34375,0.083715996,0.077152196,0.015947441,6
0,0.108938097,0.014344072,4.765625,0,3.4375,0.034012439,0.142950536,0.048356512,1
0.036510676,0.109567064,0,8.828125,0,78.203125,0.051541696,0.124598084,0.01503102,2
0.033846889,0.048408628,0,2.734375,0,7.8125,0.05211508,0.066676819,0.018268191,3
0.090351126,0.063853506,0,0,16.328125,20.15625,0.109288053,0.082790433,0.018936927,4
0.089210126,0.061244773,0,0,4.140625,4.21875,0.11320873,0.085243378,0.023998604,5
0.075141627,0.06133664,0,0,6.71875,2.578125,0.08963164,0.075826652,0.014490012,6
0,0.190034068,0.005189282,1.09375,0,0.546875,0.053085588,0.243119656,0.05827487,1
0.04301962,0.110208309,0,0,1.484375,2.578125,0.058703341,0.125892031,0.015683721,2
0.034087413,0.045011495,0,0,5.546875,7.421875,0.049580138,0.060504219,0.015492724,3
0.056683587,0.056906943,0,0,9.84375,8.59375,0.069691911,0.069915267,0.013008324,4
0.074455778,0.050279752,0,0,5,2.890625,0.095578727,0.071402702,0.021122949,5
0.138583096,0.089776549,0,0,6.875,1.5625,0.159103433,0.110296886,0.020520337,6
0.007904907,0.125699096,0,27.34375,0,27.421875,0.033381948,0.151176137,0.025477041,1
0.047850901,0.11329493,0,6.796875,0,12.34375,0.066790394,0.132234424,0.018939493,2
0.047795618,0.058592372,0,0.15625,0,6.25,0.067499021,0.078295775,0.019703403,3
0.037889863,0.043773261,0,0,13.75,15.15625,0.04837897,0.054262369,0.010489107,4
0.083812462,0.044219523,0,0,3.4375,3.75,0.10329956,0.063706622,0.019487098,5
0.092051669,0.062006135,0,0,7.109375,2.8125,0.108745202,0.078699668,0.016693533,6
8.49E-05,0.129360482,0,18.4375,0,1.640625,0.058054685,0.1873303,0.057969818,1
0.034547944,0.097844256,0,0,0.703125,68.59375,0.050126905,0.113423217,0.015578961,2
0.060401114,0.060783205,0,0,4.375,6.171875,0.080651347,0.081033438,0.020250233,3
0.055154255,0.053043591,0,0,7.890625,7.578125,0.070106547,0.067995883,0.014952292,4
0.100047189,0.070931565,0,0,6.5625,3.125,0.131344926,0.102229303,0.031297738,5
0.086258625,0.066539141,0,0,7.265625,2.34375,0.101451008,0.081731524,0.015192383,6
0,0.220187581,0.007551658,28.671875,0,27.96875,0.055564307,0.275751888,0.063115965,1
0.051230091,0.157537407,0,16.484375,0,21.875,0.073316257,0.179623573,0.022086166,2
0.02787468,0.048397588,0,0,0,7.734375,0.04206703,0.062589938,0.01419235,3
0.060599033,0.06224604,0,0,5.859375,8.59375,0.076712507,0.078359514,0.016113474,4
0.044624665,0.031548581,0,0,3.828125,4.140625,0.055548637,0.042472553,0.010923972,5
0.079095143,0.059120494,0,0,7.265625,2.8125,0.092326169,0.072351519,0.013231026,6
0,0.197342474,0.006322414,11.25,0,10.859375,0.046136429,0.243478903,0.052458843,1
0.037501473,0.118824513,0,0.390625,0,7.265625,0.052731361,0.134054401,0.015229888,2
0.046172708,0.042242959,0,0,0,7.5,0.063602976,0.059673227,0.017430268,3
0.059085349,0.044283978,0,0,5.625,6.40625,0.070991585,0.056190214,0.011906236,4
0.113777944,0.064059365,0,0,32.109375,35.9375,0.141551342,0.091832763,0.027773398,5
0.144318776,0.080425696,0,0,13.359375,10.078125,0.16365075,0.099757671,0.019331974,6
0.004762686,0.163930024,0,10.3125,0,9.921875,0.043290221,0.202457559,0.038527535,1
0.029149093,0.073864863,0,3.515625,0,7.1875,0.03985985,0.08457562,0.010710757,2
0.036741188,0.05171659,0,0.078125,0,6.875,0.053812498,0.068787901,0.017071311,3
0.050907236,0.04720445,0,0,4.140625,6.640625,0.063803186,0.0601004,0.012895951,4
0.096718523,0.057008575,0,0,3.828125,3.671875,0.122573208,0.082863261,0.025854686,5
0.111540316,0.069195653,0,0,8.515625,3.125,0.126248512,0.083903849,0.014708196,6
0.002087954,0.108647782,0,3.671875,0,2.421875,0.038547141,0.145106968,0.036459187,1
0.057954233,0.157358192,0,1.875,0,3.90625,0.081838243,0.181242202,0.02388401,2
0.07376784,0.063972444,0,0,1.875,7.421875,0.099344655,0.089549258,0.025576814,3
0.055374847,0.052390385,0,0,3.90625,7.65625,0.070112126,0.067127664,0.014737278,4
0.046321155,0.028481359,0,0,0.46875,4.0625,0.058179826,0.04034003,0.011858671,5
0.096783802,0.068713069,0,0,6.875,2.5,0.112842907,0.084772174,0.016059104,6
0.006113204,0.157518854,0,26.484375,0,10.078125,0.050906179,0.202311829,0.044792975,1
0.035564999,0.084367768,0,6.328125,0,8.671875,0.049491564,0.098294333,0.013926565,2
0.045754093,0.060598413,0,0,6.171875,14.6875,0.063371347,0.078215667,0.017617254,3
0.053292952,0.050177689,0,0,32.265625,33.75,0.065400867,0.062285605,0.012107916,4
0.070047149,0.040368609,0,0,5.390625,4.375,0.088281594,0.058603054,0.018234445,5
0.086551645,0.066644733,0,0,7.734375,3.28125,0.100883362,0.08097645,0.014331717,6
0,0.20155116,0.012412295,3.046875,0,1.796875,0.042641985,0.244193145,0.05505428,1
0.045343118,0.11808677,0,2.890625,0,7.109375,0.062142115,0.134885767,0.016798997,2
0.044877327,0.049016802,0,0,8.203125,11.015625,0.059638735,0.063778209,0.014761408,3
0.068899673,0.058802813,0,0,21.484375,38.359375,0.074731126,0.064634266,0.005831453,4
0.137509871,0.05591658,0,0,4.6875,4.765625,0.165658593,0.084065301,0.028148721,5
0.146968464,0.084972979,0,0,2.5,0.9375,0.169132991,0.107137506,0.022164527,6
0.004855518,0.113015334,0,26.328125,0,26.40625,0.029568134,0.13772795,0.024712617,1
0.015981151,0.040345085,0,5.15625,0,8.4375,0.022790192,0.047154126,0.006809041,2
0.05578373,0.071032621,0,0,0.78125,583.671875,0.061698289,0.07694718,0.005914559,3
0.034265099,0.035886046,0,551.640625,557.265625,0,0.053497691,0.055118638,0.019232592,4
