mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.0083431,0.14916,0,16.172,0,11.484,0.036581,0.1774,0.028238,2
0.046289,0.13557,0,6.25,0,11.641,0.061937,0.15122,0.015649,6
0.057175,0.04949,0,0,5.9375,15.234,0.073908,0.066223,0.016733,4
0.058156,0.056934,0,0,6.1719,8.75,0.073403,0.072182,0.015248,1
0.09501,0.048206,0,0,3.9844,4.375,0.11664,0.069836,0.021631,3
0.12597,0.092168,0,0,4.5313,2.0313,0.14893,0.11513,0.022959,5
0,0.088055,0.016762,15.859,0,14.531,0.023655,0.11171,0.040417,2
0.035593,0.11531,0,4.6875,0,12.891,0.051377,0.1311,0.015784,6
0.03926,0.035981,0,0,9.5313,14.219,0.054271,0.050992,0.015011,4
0.050185,0.046835,0,0,5.7813,30.625,0.060491,0.05714,0.010305,1
0.06929,0.048948,0,0,5,5.4688,0.088333,0.067991,0.019043,3
0.040845,0.046485,0,0,7.8125,3.2031,0.052549,0.058189,0.011704,5
0,0.1216,0.020942,5.9375,0,5.4688,0.029036,0.15064,0.049978,2
0.040377,0.11686,0,1.9531,0,5.3906,0.05577,0.13226,0.015393,6
0.023637,0.032128,0,0,3.2813,8.8281,0.032803,0.041295,0.0091667,4
0.049105,0.049913,0,0,9.2969,8.2813,0.061122,0.06193,0.012017,1
0.021661,0.022046,0,0,3.2031,5.9375,0.027689,0.028074,0.0060282,3
0.049173,0.046772,0,0,6.9531,2.5781,0.060534,0.058133,0.011361,5
0.0043496,0.1117,0,2.1875,0,4.7656,0.038789,0.14614,0.034439,2
0.035153,0.11636,0,6.7969,0,11.563,0.051164,0.13237,0.01601,6
0.036608,0.047496,0,0,3.2031,9.5313,0.056156,0.067044,0.019548,4
0.047824,0.045249,0,0,9.6094,10.781,0.063315,0.060741,0.015491,1
0.076349,0.037177,0,0,3.4375,4.2969,0.094324,0.055152,0.017975,3
0.079583,0.061384,0,0,8.125,2.5781,0.093378,0.075179,0.013795,5
0,0.15635,0.012713,4.9219,0,3.2813,0.041066,0.19742,0.053779,2
0.030321,0.079254,0,3.5156,0,8.4375,0.040648,0.089581,0.010327,6
0.045379,0.044401,0,0,4.1406,12.5,0.053659,0.052681,0.00828,4
0.051713,0.05417,0,0,7.4219,8.125,0.06622,0.068678,0.014508,1
0.071815,0.044511,0,0,7.6563,6.4844,0.08894,0.061636,0.017125,3
0.10236,0.074562,0,0,7.5781,2.5,0.11881,0.091006,0.016443,5
0,0.15215,0.0014369,2.8125,0,2.9688,0.04321,0.19536,0.044647,2
0.035227,0.11887,0,4.1406,0,7.0313,0.049515,0.13316,0.014288,6
0.043768,0.052998,0,7.1094,0,15.234,0.063382,0.072612,0.019614,4
0.08106,0.073036,0,0,36.719,39.531,0.10014,0.092119,0.019083,1
